Name,Gender
Aaron Klug,Male
Abdus Salam,Unknown
Alan B. Tayler,Male
Alan C. Newell,Male
Alan Cottrell,Male
Alan Hodgkin,Male
Alan R. Battersby,Male
Albert Kluyver,Male
Alsace,Unknown
Andrew Huxley,Male
Andrew Majda,Male
Bernard J. Matkowsky,Male
Bernard Katz,Male
Bernd Sturmfels,Male
Bibcode (identifier),Unknown
Bryan Thwaites,Male
Carl R. de Boor,Male
Charles Babbage,Male
Charles F. Van Loan,Male
Charles Frank (physicist),Male
Charles S. Peskin,Male
Chi-Wang Shu,Unknown
Copley Medal,Unknown
Cyril N. Hinshelwood,Male
César Milstein,Male
David Crighton,Male
David Donoho,Male
David Gottlieb (mathematician),Male
David Keilin,Male
David Slepian,Male
Derek Barton,Male
Derek Roberts,Male
Donald Knuth,Male
Dorothy Hodgkin,Female
E. T. Whittaker,Unknown
Edmund F. Robertson,Male
Edward Waring,Male
Elliott Cresson Medal,Male
Eric Lander,Male
Eugene Wigner,Male
"Farnborough, Hampshire",Unknown
Francis Crick,Male
Frank Fenner,Male
Frederick Sanger,Male
Freeman Dyson,Male
Fritz Ursell,Male
Garrett Birkhoff,Male
George Biddell Airy,Male
George C. Papanicolaou,Male
George F. Carrier,Male
George Porter,Male
Gerald B. Whitham,Male
Germund Dahlquist,Unknown
Hans Krebs (biochemist),Male
Harold Jeffreys,Male
Howard Florey,Male
Hugh Huxley,Male
Isaac Barrow,Male
Isaac Milner,Male
Isaac Newton,Male
James H. Wilkinson,Male
James Lighthill House,Male
James Watson,Male
Jean Leray,Male
Jerrold E. Marsden,Male
John Colson,Male
John Cornforth,Male
John Edensor Littlewood,Male
John M. Ball,Male
John Maynard Smith,Male
John Tukey,Male
John von Neumann Lecture,Male
Joseph Keller,Male
Joseph Larmor,Male
Joshua King (mathematician),Male
Jule Gregory Charney,Unknown
Jürgen Moser,Male
Keith Stewartson,Male
Kenneth Arrow,Male
Kurt Otto Friedrichs,Male
Lawrence Bragg,Male
Leah Keshet,Female
Leslie Greengard,Female
Macfarlane Burnet,Unknown
Margaret H. Wright,Female
Mark Kac,Male
Martin David Kruskal,Male
Max Perutz,Male
Michael Atiyah,Male
Michael Cates,Male
Michael Green (physicist),Male
Nancy Kopell,Female
Nevill Mott,Unknown
Nicholas Saunderson,Male
Nick Trefethen,Male
Noel Annan,Male
Norman Pirie,Male
Olga Ladyzhenskaya,Female
Otto Laporte Award,Male
Patrick Blackett,Male
Paul Dirac,Male
Paul Samuelson,Male
Persi Diaconis,Unknown
Peter D. Mitchell,Male
Peter Henrici (mathematician),Male
Peter Lax,Male
Peter Medawar,Male
Peter Norvig,Male
Richard M. Karp,Male
Robert Burns Woodward,Male
Robert Woodhouse,Male
Robin Hill (biochemist),Male
Rodney Porter,Male
Ronald Fisher,Male
Royal Medal,Male
Rudolf Peierls,Male
"Sir George Stokes, 1st Baronet",Unknown
Solomon Lefschetz,Male
Squirmer,Unknown
Stanley Osher,Male
Stephen Hawking,Male
Stephen Smale,Male
Steve Furber,Male
Stuart J. Russell,Male
Subrahmanyan Chandrasekhar,Unknown
Sydney Brenner,Male
Sydney Chapman (mathematician),Male
Sydney Goldstein,Male
Tadeusz Reichstein,Male
Thomas Turton,Male
Tim Pedley,Male
Timoshenko Medal,Unknown
W. V. D. Hodge,Unknown
William Kahan,Male
William Whiston,Male
Yousef Saad,Male
Template:John von Neumann Lecturers,Unknown
Template talk:John von Neumann Lecturers,Unknown
