Name,Gender
Adam Riess,Male
Adams Prize,Unknown
Adolfo Suárez,Male
Adrian R. Krainer,Male
Al Gore,Male
Alan Fersht,Male
Alan Guth,Male
Alan Lightman,Male
Alan Yuille,Male
Albert Edward Litherland,Male
Albert Einstein,Male
Albert Einstein Award,Male
Albert Einstein Medal,Male
Albert Fert,Male
Albert J. Libchaber,Male
Albert Medal (Royal Society of Arts),Male
Alec Jeffreys,Male
Alex Eskin,Male
Alexander Friedmann,Male
Alexander Markovich Polyakov,Male
Alexander Varshavsky,Male
Alexander Zamolodchikov,Male
Alexei Starobinsky,Male
Alim Louis Benabid,Male
Allan H. MacDonald,Male
AmfAR,Unknown
Andre Geim,Male
Andrei Linde,Male
Andrew Gemant Award,Male
Andrew Parsons (sports administrator),Male
Andrew Singleton,Male
Andrew Strominger,Male
Andrew Wiles,Male
Angelika Amon,Female
Anne L'Huillier,Female
Anthony A. Hyman,Male
Anthony James Leggett,Male
Anton Zeilinger,Male
Arthur B. McDonald,Male
Arthur C. Clarke,Male
Arthur L. Horwich,Male
Ashoke Sen,Unknown
Astronomer Royal,Unknown
Bantam Books,Unknown
Barack Obama,Male
Benedict Cumberbatch,Male
Benoit Mandelbrot,Unknown
Bernard Carr,Male
Bert Vogelstein,Male
Bibcode (identifier),Unknown
Bill Joy,Male
Blayne Heckel,Male
Brahms,Unknown
Brandon Carter,Male
Brave New World with Stephen Hawking,Unknown
Breakthrough Initiatives,Unknown
Breakthrough Prize,Unknown
Breakthrough Prize in Fundamental Physics,Unknown
Breakthrough Prize in Life Sciences,Unknown
Breakthrough Prize in Mathematics,Unknown
Brian Cox (physicist),Male
Brian May,Male
Brian Schmidt,Male
Bruce Allen (physicist),Male
Bruno Rossi,Male
C. Frank Bennett,Unknown
Camino de Santiago,Unknown
Carl June,Male
Carl Sagan,Male
Catherine Dulac,Female
Charles Babbage,Male
Charles Darwin,Male
Charles David Allis,Male
Charles H. Bennett (physicist),Male
Charles L. Bennett,Male
Charles L. Kane,Male
Charles Rees,Male
Charles Sawyers,Male
Cherry picking,Female
Chien-Shiung Wu,Unknown
Christiaan Huygens,Male
Christopher Columbus,Male
Christopher Hacon,Male
Christopher Pope (physicist),Male
Clifford P. Brangwynne,Male
Copley Medal,Unknown
Cornelia Bargmann,Female
Cumrun Vafa,Unknown
Dan Hendrycks,Male
Dan McKenzie (geophysicist),Male
Dan Shechtman,Male
Daniel A. Spielman,Male
Daniel Barenboim,Male
Daniel Kleppner,Male
Daniel Z. Freedman,Male
David Baker (biochemist),Male
David Botstein,Male
David C. Robinson,Male
David Cox (statistician),Male
David Deutsch,Male
David Gross,Male
David J. Thouless,Male
David Julius,Male
David Klenerman,Male
David Roderick Curtis,Male
David Spergel,Male
Dennis Lo,Male
Dennis Overbye,Male
Dennis W. Sciama,Male
Dennis William Sciama,Male
Didier Queloz,Male
Dikran Tahta,Unknown
Don Page (physicist),Male
Don W. Cleveland,Male
Donald Trump,Male
Drew Weissman,Male
Drummond Matthews,Male
Eddie Redmayne,Male
Eddington Medal,Unknown
Edith Piaf,Female
Edmund F. Robertson,Male
Edward Boyden,Male
Edward Said,Male
Edward Waring,Male
Edward Witten,Male
Edwin Hubble,Male
Eliezer Yudkowsky,Male
Ellen Sidransky,Female
Emmanuel Mignot,Male
Emmanuelle Charpentier,Female
Eric Adelberger,Male
Eric Lander,Male
Errol Morris,Male
Erwin Hahn,Male
Eugene J. Mele,Male
Francis Poulenc,Male
Frank Wilczek,Male
Franklin Medal,Male
François Englert,Male
Fred Hoyle,Male
Frederick Seitz,Male
Frederick Vine,Male
Fredrick Van Goor,Male
Freeman Dyson,Male
Galaxy Song,Unknown
Gary Gibbons,Male
Gary Hinshaw,Male
Gary Ruvkun,Male
Genius by Stephen Hawking,Unknown
Geoffrey Hinton,Male
George's Secret Key to the Universe,Unknown
George Biddell Airy,Male
George Eliot,Male
George F. R. Ellis,Male
George Francis Rayner Ellis,Male
George Gamow,Male
George H. Hitchings,Male
George Smoot,Male
George Uhlenbeck,Male
George and the Big Bang,Male
George and the Blue Moon,Male
George and the Unbreakable Code,Male
Georges Lemaître,Male
Gerard 't Hooft,Male
Gesto por la Paz,Unknown
Gilles Brassard,Male
Giuseppe Occhialini,Male
Glasgow,Unknown
"Gonville and Caius College, Cambridge",Unknown
Gregory Paul Winter,Male
Guido Tonelli,Male
Hannes Alfvén,Male
Hans Clevers,Male
Hans Zimmer,Male
Harald Rose,Male
Harry F. Noller,Male
Harry Kroto,Male
Helen Hobbs,Female
Herbert Friedman,Male
Hidetoshi Katori,Male
Huda Zoghbi,Female
Hussein of Jordan,Male
Ian Agol,Male
Igor Dmitriyevich Novikov,Male
Into the Universe with Stephen Hawking,Unknown
Isaac Barrow,Male
Isaac Milner,Male
Isaac Newton,Male
J. K. Rowling,Unknown
Jaan Tallinn,Male
Jack D. Dunitz,Male
Jack Halpern (chemist),Male
Jacob Bekenstein,Male
Jacob Lurie,Male
Jacques Miller,Male
James Bjorken,Male
James Hartle,Male
James Lighthill,Male
James Lovelock,Male
James M. Bardeen,Male
James McKernan,Male
James P. Allison,Male
Jane Hawking,Female
Jayant Narlikar,Unknown
Jean-Pierre Serre,Male
Jean Bourgain,Male
Jeffery W. Kelly,Male
Jeffrey I. Gordon,Male
Jeffrey M. Friedman,Male
Jennifer Doudna,Female
Jens H. Gundlach,Male
Jeremy Corbyn,Male
Jeremy Hunt,Male
Jim Al-Khalili,Male
Joanne Chory,Female
Joaquín Sanz Gadea,Male
Jocelyn Bell Burnell,Female
Johannes Kepler,Male
John Archibald Wheeler,Male
John B. Goodenough,Male
John C. Mather,Male
John Cairns (biochemist),Male
John Cardy,Male
John Clauser,Male
John Colson,Male
John D. Eshelby,Male
John Davidson (chemical engineer),Male
John E. Walker,Male
John Gurdon,Male
John Hardy (geneticist),Male
John Henry Schwarz,Male
John M. Jumper,Male
