Name,Gender
A. J. Ayer,Unknown
Alciphron (book),Unknown
Barber paradox,Unknown
Benjamin Lee Whorf,Male
Bertrand Russell,Male
Bhartrhari's paradox,Unknown
Chrysippus,Unknown
Claude Lancelot,Male
Condorcet paradox,Unknown
Curry's paradox,Unknown
David Lewis (philosopher),Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Edgeworth paradox,Unknown
Edward Sapir,Male
Ellsberg paradox,Unknown
Fenno's paradox,Unknown
Fitch's paradox of knowability,Unknown
Franz Boas,Male
Fredkin's paradox,Unknown
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
George Berkeley,Male
George Myro,Male
Gibson's paradox,Unknown
Giffen good,Unknown
Gilbert Ryle,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Grelling–Nelson paradox,Unknown
Henri Bergson,Male
Hilbert's paradox of the Grand Hotel,Unknown
Ibn Khaldun,Unknown
J. L. Austin,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Johann Gottfried Herder,Male
John Locke Lectures,Male
John Searle,Male
John Wilkins,Male
Kleene–Rosser paradox,Unknown
Leonard Bloomfield,Male
Lev Vygotsky,Male
Ludwig Wittgenstein,Male
Mandeville's paradox,Unknown
Metzler paradox,Unknown
Michael Dummett,Male
Morton's fork,Unknown
Noam Chomsky,Male
P. F. Strawson,Unknown
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Richard's paradox,Unknown
Rudolf Carnap,Male
Russell's paradox,Unknown
Sally Haslanger,Female
Saul Kripke,Male
Shelley Lynn Tremain,Female
Thomas Hobbes,Male
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
Yablo's paradox,Unknown
Zeno's paradoxes,Unknown
Zhuang Zhou,Unknown
