Name,Gender
AAAS Fellow,Unknown
Bart Selman,Male
Bibcode (identifier),Unknown
Bill Joy,Male
Dan Hendrycks,Male
Daphne Koller,Female
Eliezer Yudkowsky,Male
Eric Xing,Male
Frank Wilczek,Male
GPT-4,Unknown
Gary Marcus,Male
Geoffrey Hinton,Male
Hector Levesque,Male
Jaan Tallinn,Male
Joseph Halpern,Male
K. Eric Drexler,Unknown
Lise Getoor,Female
Manuela M. Veloso,Female
Marie desJardins,Female
Martin Rees,Male
Max Tegmark,Male
Michael Genesereth,Male
Michael Wellman,Male
Nick Bostrom,Male
Paul Christiano (researcher),Male
Peter Norvig,Male
Presidential Young Investigator Award,Unknown
Reith Lectures,Unknown
Roman Yampolskiy,Male
Russ Altman,Male
Sabine Hauert,Female
Sam Altman,Male
Sam Harris,Male
Shlomo Zilberstein,Male
"St Paul's School, London",Unknown
Stephen Hawking,Male
Steve Omohundro,Male
Tom Griffiths (cognitive scientist),Male
Yoshua Bengio,Unknown
