Name,Gender
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Andrew Hodges,Male
Anthony Wilden,Male
Bibcode (identifier),Unknown
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Herbert Simon award for Complex Systems,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John D. Barrow,Male
John N. Warfield,Male
Kevin Warwick,Male
Maleyka Abbaszadeh,Unknown
Map (mathematics),Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marshall Scholar,Male
Michael Ruse,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
PLoS ONE,Unknown
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
S. Barry Cooper,Unknown
SSRN (identifier),Unknown
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William A. Dembski,Male
William Grey Walter,Male
