Name,Gender
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Baichuan,Unknown
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Chinchilla (language model),Unknown
Claro Música,Male
Claude (language model),Male
Claude Shannon,Male
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT-4,Unknown
Gaana (music streaming service),Unknown
Gen AI,Unknown
Geoffrey Hinton,Male
Grok (chatbot),Unknown
Guvera,Unknown
Herbert A. Simon,Male
Ian Goodfellow,Male
Jango (website),Unknown
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Llama (language model),Unknown
Lotfi A. Zadeh,Male
MIT License,Unknown
Marvin Minsky,Male
MiniMax (company),Unknown
Moonshot AI,Unknown
Mziiki,Unknown
Nathaniel Rochester (computer scientist),Male
Oliver Selfridge,Male
Patari (service),Unknown
Paul Werbos,Male
Qwen,Unknown
Seymour Papert,Male
Stephen Grossberg,Male
Tom's Guide,Unknown
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
YouTube Music,Unknown
Template:Latest preview software release/Suno AI,Unknown
Template:Latest stable software release/Suno AI,Unknown
