Name,Gender
Allen Newell,Male
Andy Clark,Male
Arthur Samuel (computer scientist),Male
Bart Selman,Male
Benjamin Kuipers,Male
Bibcode (identifier),Unknown
Carl Djerassi,Male
Carl Hewitt,Male
Daniel Crevier,Male
Daniel Kahneman,Male
Danny Hillis,Male
David Spiegelhalter,Male
Deep Blue (chess computer),Female
Doug Lenat,Male
Douglas Lenat,Male
Ed Feigenbaum,Male
Edward Feigenbaum,Male
Edward N. Zalta,Male
Ehud Shapiro,Male
Francesca Rossi,Female
Frank Rosenblatt,Male
Garry Kasparov,Male
Gary Marcus,Male
Geoffrey Hinton,Male
Glass box,Unknown
Henry Kautz,Male
Herbert A. Simon,Male
Hidden Markov model,Unknown
Hubert Dreyfus,Male
James F. Allen (computer scientist),Male
Jess (programming language),Male
John Haugeland,Male
John McCarthy (computer scientist),Male
John R. Koza,Male
John Robert Anderson (psychologist),Male
Joshua Lederberg,Male
Judea Pearl,Unknown
LCCN (identifier),Unknown
Leslie Valiant,Female
Lofti Zadeh,Unknown
Markov logic network,Unknown
Marvin Minsky,Male
Monte Carlo tree search,Male
Neuro-symbolic AI,Unknown
Nils Nilsson (researcher),Male
Pamela McCorduck,Female
Pat Hayes,Unknown
Peter Norvig,Male
Richard Waldinger,Male
Robert Kowalski,Male
Rodney Brooks,Male
Roger Schank,Male
Ross Quinlan,Male
Seymour Papert,Male
Steffen Lauritzen,Male
Stuart J. Russell,Male
"Thinking, Fast and Slow",Unknown
Tom M. Mitchell,Male
Traveller (role-playing game),Unknown
Yann LeCun,Male
Yoshua Bengio,Unknown
Zohar Manna,Male
