Name,Gender
Aaron Sams,Male
Adam Kucharski,Male
Al Gore,Male
Alexis Nikole Nelson,Male
Allyson Felix,Female
Amanda Palmer,Female
Andrew McAfee,Male
Anil Seth,Male
Anthony D. Romero,Male
Apple Macintosh,Unknown
Ashraf Ghani,Male
Audrey Tang,Female
Benjamin H. Bratton,Male
Benoit Mandelbrot,Unknown
Bernice King,Female
Bill Clinton,Male
Bill Gates,Male
Bloomberg Businessweek,Unknown
Bono,Male
Bruno Giussani,Male
Bryce Dallas Howard,Male
Carole Cadwalladr,Female
Chautauqua,Unknown
Chris Anderson (entrepreneur),Male
Christiana Figueres,Female
Dalia Mogahed,Female
Dambisa Moyo,Unknown
Damon Lindelof,Male
Dan Schulman,Male
Daniel Gilbert (psychologist),Male
Daniel Kahneman,Male
Danielle Allen,Female
Darren Walker,Male
Dave Eggers,Male
David Brooks (commentator),Male
David Deutsch,Male
David Isay,Male
Donald D. Hoffman,Male
Edward Burtynsky,Male
Edward O. Wilson,Male
Elementary (TV series),Unknown
Elizabeth Dunn,Female
Elizabeth Gilbert,Female
Ezra Klein,Male
Family Guy,Unknown
Fareed Zakaria,Unknown
Frances X. Frei,Female
Frank Stanton (executive),Male
Garry Kasparov,Male
Gary Liu,Male
Graham Hancock,Male
Guy Pearce,Male
Guy Raz,Male
Halla Tómasdóttir,Female
Harry Marks (broadcast designer),Male
Hillary Clinton,Female
Inspector Lestrade,Unknown
Jackie Bezos,Unknown
James Nachtwey,Male
Jamie Oliver,Female
Jay S. Walker,Male
Jehane Noujaim,Unknown
Jill Tarter,Female
Jimmy Carter,Male
Johann Hari,Male
Jonathan Bergmann,Male
Jonathan Sacks,Male
José Antonio Abreu,Male
June Cohen,Female
Kai-Fu Lee,Unknown
Karen Armstrong,Female
Kate Raworth,Female
Ken Robinson (educationalist),Male
Kristalina Georgieva,Female
Lara Stein,Female
Larry Brilliant,Male
"Launceston, Tasmania",Unknown
Luke Scott (director),Male
Madeleine Albright,Female
Malala Yousafzai,Unknown
Manoush Zomorodi,Unknown
Marc Hodosh,Male
Marvin Rees,Male
Matthew Walker (scientist),Male
Melinda Gates,Female
Mellody Hobson,Unknown
Michael Tubbs,Male
Monica Lewinsky,Female
Nancy Pelosi,Female
Nassim Taleb,Male
Neil Turok,Male
Nicholas Negroponte,Male
Nick Hanauer,Male
Parag Khanna,Unknown
Pat Mitchell,Unknown
Peter Griffin,Male
Peter Weyland,Male
Phillip Atiba Goff,Male
Priya B. Parker,Female
Quazi Nawshaba Ahmed,Unknown
Raj Panjabi,Male
Rashad Robinson,Male
Ray Dalio,Male
Ray Kurzweil,Male
Richard Saul Wurman,Male
Ridley Scott,Male
Robert Fischell,Male
Robert Sapolsky,Male
Robin Steinberg,Male
Roger McNamee,Male
Rupert Sheldrake,Male
Sal Khan,Male
Sam Harris,Male
Sarah Lacy,Female
Sarah Parcak,Female
Sarah Silverman,Female
Seth Berkley,Male
Sheryl Sandberg,Female
Socio-economics,Unknown
Sonia Shah,Female
Stacey Abrams,Female
Steven Pinker,Male
Stewart Brand,Male
Susan Cain,Female
Susan David,Female
Sylvia Earle,Female
TED Blog,Unknown
TED Radio Hour,Unknown
Tim Ferriss,Male
Tom Rivett-Carnac,Male
Tom Shannon (artist),Male
Webby Award,Unknown
Wembley Stadium,Unknown
Yuval Noah Harari,Male
