Name,Gender
A. J. Ayer,Unknown
Abbey of Monte Cassino,Female
Abbé Migne,Unknown
Abd al-Latif al-Baghdadi,Male
Abda and Abdisho,Unknown
Abel de Saint-Brieuc,Male
Abraham,Male
Abraham ibn Daud,Male
Abu Bakr al-Razi,Male
Abu Bishr Matta ibn Yunus,Male
Abu Sulayman Sijistani,Male
Abu Ya'qub al-Sijistani,Male
Abu al-Hassan al-Amiri,Male
Acción Española,Unknown
Actus Essendi,Unknown
Ad maiorem Dei gloriam,Male
Adam Smith,Male
Adam and Eve,Male
Adolfo Clavarana,Male
Aeterni Patris,Unknown
Agustín Dávila Padilla,Male
Agustín González de Amezúa y Mayo,Male
Aidan Nichols,Male
Al-Biruni,Unknown
Al-Farabi,Unknown
Al-Ghazali,Unknown
Al-Kindi,Unknown
Alban Butler,Male
Albert Camus,Male
Albert of Saxony (philosopher),Male
Alberto Drago,Male
Alberto Ezcurra Medrano,Male
Alberto Pascaleo,Male
Alexander Broadie,Male
Alexander of Jerusalem,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Aleš Ušeničnik,Male
Alfonso Guerra (bishop),Male
Alfonso Muzzarelli,Male
Alfonso de la Cerda (bishop),Male
Alfred Delp,Male
Alfred North Whitehead,Male
Ali Shariati,Male
Alice von Hildebrand,Female
Alphonsus Liguori,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Ambrosio Fracassini,Male
Amos (prophet),Male
Andrea Franchi,Female
Andrea di Bonaiuto,Female
Andreas Frühwirth,Male
Andrew of Carniola,Male
Andrew the Apostle,Male
Andrés González (bishop),Male
Angela of the Cross,Female
Angelo Pirotta,Male
Anil Gupta (philosopher),Male
Anna Abrikosova,Female
Anna Borkowska (Sister Bertranda),Female
Anna Vittoria Dolara,Female
Anonimo Fiorentino,Unknown
Anthony Fisher,Male
Anthony of Kiev,Male
Anthony of Padua,Male
Anthony of the Mother of God,Male
Antoine Massoulié,Male
Anton Charles Pegis,Male
Antonin Sertillanges,Male
Antonio Cogorno,Male
Antonio Gramsci,Male
Antonio Millán-Puelles,Male
Antonio Negri,Male
Antonio Piolanti,Male
Antonio Ponticorona,Male
Antonio Rosmini,Male
Antonio de Hervias,Male
Antonio de Monroy,Male
Antonio de Valdivieso,Male
Antonio de la Cuesta y Sáinz,Male
Antonio del Castillo y Saavedra,Male
Antonio della Chiesa,Male
António Sardinha,Male
António Vieira,Male
Apollinaris of Laodicea,Unknown
Archangelo de' Bianchi,Unknown
Ardeth Platte,Female
Arlindo Veiga dos Santos,Male
Arnold Gehlen,Male
Arthur Schopenhauer,Male
Ascensión Nicol y Goñi,Unknown
Ascoli Piceno,Unknown
Athanasius of Alexandria,Unknown
Athir al-Din al-Abhari,Unknown
Athleta Christi,Unknown
Augustine,Female
Augustine Fangi,Female
Augustine of Canterbury,Female
Augustine of Hippo,Female
Austin Farrer,Male
Austin Woodbury,Male
Ayn Rand,Female
Ayn al-Quzat Hamadani,Female
B. A. Santamaria,Unknown
B. F. Skinner,Unknown
B. R. Ambedkar,Unknown
Baltasar Gracián,Male
Baptism of Jesus,Unknown
Bartolomea Riccoboni,Female
Bartolomeo Lopaci,Male
Baruch ben Neriah,Male
Basil of Caesarea,Male
"Basilica of Saint-Sernin, Toulouse",Unknown
Benedict Ashley,Male
Benedict T. Viviano,Male
Benedict XIV,Male
Benedict of Nursia,Male
Benito Fontcuberta,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Tucker,Male
Benozzo Gozzoli,Unknown
Benvenuta Bojani,Female
Bernadette Soubirous,Female
Bernard Bolzano,Male
Bernard Guidonis,Male
Bernard Lonergan,Male
Bernard Ryosuke Inagaki,Male
Bernard Williams,Male
Bernard de Trilia,Male
Bernard of Chartres,Male
Bernard of Clairvaux,Male
Bernard of Hotun,Male
Bernardo Daddi,Male
Berthold von Oberg,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Blessed Martyrs of Drina,Unknown
Boris and Gleb,Male
Brian Davies (philosopher),Male
Bruno Lanteri,Male
Burchard Tuberflug,Male
Buzád Hahót,Unknown
By the Grace of God,Unknown
Caesarius of Arles,Unknown
Cain and Abel,Male
Canon Episcopi,Unknown
Canon Law,Unknown
Carl Schmitt,Male
Carlo Crivelli,Male
Carlo Maria Martini,Male
Carlos Azpiroz Costa,Male
Carol Gilbert,Female
Catherine Jarrige,Female
Catherine Labouré,Female
Catherine of Bologna,Female
Catherine of Racconigi,Female
Catherine of Siena,Female
Catholic Bible,Unknown
Cesare Beccaria,Male
Cesare Cremonini (philosopher),Male
Chad Ripperger,Male
