Name,Gender
A. J. Ayer,Unknown
Alan Ryan,Male
Albert Van Helden,Male
Alexander Bird,Male
Alexander Bogdanov,Male
Alexander Pruss,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alisa Bokulich,Female
Alvin Plantinga,Male
Angela N. H. Creager,Female
Arif Ahmed (philosopher),Male
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Lightman,Male
Bernard Williams,Male
Berthold Laufer,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
C. D. Broad,Unknown
C. D. O'Malley,Unknown
C. P. Snow,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
"Charles Albert Browne, Jr.",Male
Charles Coulston Gillispie,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Chauncey D. Leake,Male
Christine Korsgaard,Female
Cora Diamond,Female
Daniel Dennett,Male
David C. Lindberg,Male
David Chalmers,Male
David Eugene Smith,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Stove,Male
Deirdre McCloskey,Female
Derek Parfit,Male
Donald Davidson (philosopher),Male
Dorothy Stimson,Female
E. P. Thompson,Unknown
Edgar Fahs Smith,Male
Edmund Gettier,Male
Edward Grant,Male
Edward N. Zalta,Male
Edwin Mellen Press,Male
Ernest Nagel,Male
Ernest Sosa,Male
Ernst Laas,Male
Ernst Mach,Male
Errol Morris,Male
Erwin N. Hiebert,Male
Evelynn Hammonds,Unknown
Francis Bacon,Male
Frank P. Ramsey,Male
Frederic L. Holmes,Male
Frederick Gregory (historian),Male
Freeman Dyson,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gaston Bachelard,Male
George Sarton Medal,Male
Gerald Holton,Male
Gilbert Ryle,Male
Giovanna Borradori,Female
Giuseppe Peano,Male
Graham Priest,Male
György Lukács,Male
Hanne Andersen (philosopher),Female
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Harvey Williams Cushing,Male
Henri Poincaré,Male
Henry Crew,Male
Henry E. Sigerist,Male
Henry Guerlac,Male
Herbert Marcuse,Male
I. Bernard Cohen,Unknown
Ian Hacking,Male
Imre Lakatos,Male
Isaac Newton,Male
Isaiah Bowman,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. Playfair McMurrich,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James B. Conant,Male
James F. Conant,Male
James Henry Breasted,Male
Jan Golinski,Male
Jane Maienschein,Female
Janet Browne,Female
Jed Buchwald,Male
Jerry Fodor,Male
Joan Cadden (historian),Female
John C. Greene (historian),Male
John Dupré,Male
John Farquhar Fulton,Male
John Hasbrouck Van Vleck,Male
John Horgan (journalist),Male
John L. Heilbron,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Servos,Male
Jürgen Habermas,Male
Karl Pearson,Male
Karl Popper,Male
Keith Donnellan,Male
Kurt Gödel,Male
Larry Laudan,Male
Laurance Rockefeller,Male
Lawrence Joseph Henderson,Male
Louis Charles Karpinski,Male
Ludwig Wittgenstein,Male
Ludwik Fleck,Male
Lynn K. Nyhart,Female
Lynn Thorndike,Female
Lynn Townsend White Jr.,Female
Mario Bunge,Male
Marshall Clagett,Male
Mary Jo Nye,Female
Materialism and Empirio-criticism,Unknown
Max Weber,Male
Michael Dummett,Male
Michael Polanyi,Male
Michael Sokal,Male
Michael Walzer,Male
Mill's Methods,Unknown
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Niels Bohr,Male
Noam Chomsky,Male
Noel Swerdlow,Male
Norman Malcolm,Male
Occam's razor,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Hoyningen-Huene,Male
Paul Lawrence Farber,Male
Percy Williams Bridgman,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Pierre Duhem,Male
R. M. Hare,Unknown
Richard Avenarius,Male
Richard H. Shryock,Male
Richard Rorty,Male
Richard S. Westfall,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert K. Merton,Male
Robert Nozick,Male
Robert P. Multhauf,Male
Roderick Chisholm,Male
Roger Bacon,Male
Ronald Numbers,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Russ Shafer-Landau,Male
Russian Machism,Unknown
Ruth Millikan,Female
Sal Restivo,Male
Sally Gregory Kohlstedt,Female
Saul Kripke,Male
Stephen G. Brush,Male
Stephen Hawking,Male
Stephen Pepper,Male
Steve Fuller (sociologist),Male
Susan Haack,Female
The Harvard Crimson,Female
The Universe in a Nutshell,Female
Theodor W. Adorno,Male
Thomas Kuhn (Michigan politician),Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
Vilhjalmur Stefansson,Unknown
Vladimir Lenin,Male
Wilhelm Dilthey,Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Coleman (historian),Male
William H. Welch,Male
William Lane Craig,Male
Émile Durkheim,Unknown
