Name,Gender
A. J. Ayer,Unknown
Adam Smith,Male
Alexander Pruss,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alma mater,Female
Alvin Plantinga,Male
Amartya Sen,Unknown
Andrea Branzi,Female
Andrew Manze,Male
Andrew Wiles,Male
Anil Seth,Male
Annaka Harris,Unknown
Anne Hollander,Female
Anne Lacaton,Female
Anne Sofie von Otter,Female
Antonio Damasio,Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Barbara Hannigan,Female
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Libet,Male
Bernard Baars,Male
Bernard Williams,Male
Bertrand Russell,Male
Brenda Milner,Female
Brian O'Shaughnessy (philosopher),Male
Bruce Beutler,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carl Jung,Male
Casimir Lewy,Male
Charles Augustus Strong,Male
Charles Larmore,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Christof Koch,Male
Christopher Peacocke,Male
Claes Oldenburg,Male
Colin McGinn,Male
Consciousness Explained,Unknown
Cora Diamond,Female
Cynthia Ozick,Female
D. M. Armstrong,Unknown
Damasio's theory of consciousness,Unknown
Dana Scott,Female
Daniel Dennett,Male
David Berlinski,Male
David Bohm,Male
David Chalmers,Male
David Hume,Male
David J. Chalmers,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David M. Rosenthal (philosopher),Male
David Malet Armstrong,Male
David Papineau,Male
David Pearce (philosopher),Male
Derek Parfit,Male
Dietrich Bonhoeffer,Male
Donald D. Hoffman,Male
Donald Davidson (philosopher),Male
Doris Salcedo,Female
Douglas Hofstadter,Male
Edmund Gettier,Male
Edmund Husserl,Male
Elias M. Stein,Male
Elliott H. Lieb,Male
Endre Szemerédi,Male
Ernest Nagel,Male
Ernest Sosa,Male
Erwin Schrödinger,Male
Etiquette,Unknown
Eugene Wigner,Male
Francis Alÿs,Male
Francis Crick,Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Galen Strawson,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Henry Lewes,Male
Georges Rey,Male
Gerald Edelman,Male
Gidon Kremer,Unknown
Gilbert Ryle,Male
Giulio Tononi,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henry Sidgwick,Male
Herbert Blomstedt,Male
Howison Lectures in Philosophy,Unknown
Ian Frazer,Male
Ian Hacking,Male
Immanuel Kant,Male
Ingvar Lidholm,Male
J.L. Austin,Unknown
J. B. Jackson,Unknown
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jeremy Bentham,Male
Jerry Fodor,Male
John Dewey,Male
John Dupré,Male
John Eccles (neurophysiologist),Male
John Locke,Male
John Locke Lectures,Male
John McDowell,Male
John Polkinghorne,Male
John Rawls,Male
John Searle,Male
John Simon Guggenheim Memorial Foundation,Male
John Stuart Mill,Male
Jonathan Pila,Male
Jorma Panula,Male
Joseph Butler,Male
Joseph Levine (philosopher),Male
Joxe Azurmendi,Male
Jules A. Hoffmann,Male
Julian Jaynes,Male
Kaija Saariaho,Female
Karl Barth,Male
Karl H. Pribram,Male
Karl Popper,Male
Karlheinz Böhm,Male
Kazuyo Sejima,Female
Keith Donnellan,Male
Keith Frankish,Male
Kenneth M. Sayre,Male
Kronos Quartet,Unknown
Kurt Gödel,Male
Kurt Koffka,Male
Lawrence Weiskrantz,Male
Ludwig Wittgenstein,Male
Luis Caffarelli,Male
Marlene Dumas,Female
Martha Nussbaum,Female
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Mauricio Kagel,Male
Maurizio Calvesi,Male
Max Planck,Male
Max Velmans,Male
Max Wertheimer,Male
Michael Aschbacher,Male
Michael Behe,Male
Michael Dummett,Male
Michael Gazzaniga,Male
Michael Graziano,Male
Michael Grätzel,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Michel Zink,Male
Mikio Sato,Male
Mona Hatoum,Female
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Nikolai G. Makarov,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Paolo Rossi Monti,Male
Patricia Churchland,Female
Patrick Suppes,Male
Patrick Wilken,Male
Paul Churchland,Male
Paul Tillich,Male
Per Martin-Löf,Male
Peter Galison,Male
Peter Geach,Male
