Name,Gender
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Bernstein Network,Unknown
Braitenberg Vehicles,Unknown
Braitenberg vehicle,Unknown
Buckminster Fuller,Unknown
Carl von Braitenberg,Male
Charles François (systems scientist),Male
Christof Koch,Male
Claude Bernard,Male
Conservatorio Claudio Monteverdi,Unknown
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Karl Kleist,Male
Kevin Warwick,Male
Libera docenza,Female
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
N. Katherine Hayles,Unknown
Niels Birbaumer,Male
Niklas Luhmann,Male
Norbert Wiener,Male
Oskar Vogt,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Sergei P. Kurdyumov,Male
South Tyrol,Unknown
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Tobias Bonhoeffer,Male
Valentin Turchin,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
