Name,Gender
Aaron Copland,Male
Abel Gance,Male
Académie Royale des Beaux-Arts,Unknown
Adolphe Monticelli,Male
Afternoon of a Faun (Nijinsky),Unknown
Agnès Varda,Female
Akira Kurosawa,Male
Alban Berg,Male
Albert Aurier,Male
Albert Gleizes,Male
Albert Marquet,Male
Alberto Giacometti,Male
Albright–Knox Art Gallery,Unknown
Alexander Calder,Male
Alexander Dovzhenko,Male
Alexander Scriabin,Male
Alfred Döblin,Male
Alfred Hitchcock,Male
Alfred Jarry,Male
Alfred Sisley,Male
Alfred Stieglitz,Male
Ambroise Vollard,Male
Amedeo Modigliani,Male
Amy Lowell,Female
Andrei Bely,Male
Andrei Platonov,Male
Andrei Tarkovsky,Male
André Antoine,Male
André Breton,Male
André Derain,Male
André Gide,Male
Anna Akhmatova,Female
Anna Boch,Female
Anna Sokolow,Female
Anton Chekhov,Male
Anton Mauve,Male
Anton Webern,Male
Antonin Artaud,Male
Arnold Pomerans,Male
Arnold Schoenberg,Male
Art Deco,Male
Art Gallery of Ontario,Male
Art Nouveau,Male
Arthur Honegger,Male
Arthur Koestler,Male
Atelier,Unknown
Belle Île,Female
Bernard Blommers,Male
Bertolt Brecht,Male
Breton Women,Unknown
Bulb Fields,Unknown
Buster Keaton,Male
Béla Bartók,Male
Café Terrace at Night,Unknown
Camille Claudel,Female
Camille Pissarro,Female
Carl Theodor Dreyer,Male
Charles-François Daubigny,Unknown
Charles Angrand,Male
Charles Blanc,Male
Charles Camoin,Male
Charles Demuth,Male
Charles Ives,Male
Charles Laval,Male
Charles Verlat,Male
Charlie Chaplin,Male
Chris Marker,Male
Christian Mourier-Petersen,Male
Chuck Jones,Male
Citizen Kane,Unknown
Claude Debussy,Male
Claude Monet,Male
Constantin Brâncuși,Male
Copies by Vincent van Gogh,Unknown
Cultural depictions of Vincent van Gogh,Unknown
Cuno Amiet,Male
D. H. Lawrence,Unknown
Darius Milhaud,Male
David Sweetman,Male
De Stijl,Unknown
Death of Vincent van Gogh,Unknown
Der Blaue Reiter,Unknown
Derek Fell,Male
Doctor Gachet's Garden in Auvers,Unknown
Don Juan (Strauss),Male
Don McLean,Male
Double-squares and Squares,Unknown
Douglas Sirk,Male
Dylan Thomas,Male
E. M. Forster,Unknown
Early works of Vincent van Gogh,Unknown
Ed Wood,Male
Edgar Degas,Male
Edgard Varèse,Male
Edward Hopper,Male
Edward Steichen,Male
Egon Schiele,Male
Erich Mendelsohn,Male
Erik Satie,Male
Ernest Hemingway,Male
Ernst Ludwig Kirchner,Male
Erwin Piscator,Male
Eugene O'Neill,Male
Eugène Delacroix,Male
Eugène Siberdt,Male
Ezra Pound,Male
F. W. Murnau,Unknown
Farms near Auvers (Van Gogh),Unknown
Federico Fellini,Male
Federico García Lorca,Male
Fernand Cormon,Male
Fernand Léger,Male
Fernando Pessoa,Male
Flowering Orchards,Unknown
Fondation Vincent van Gogh Arles,Unknown
Francis Bacon (artist),Male
Francis Picabia,Male
Frank Lloyd Wright,Male
Frank Wedekind,Male
Frans Hals,Male
Franz Kafka,Male
Franz Marc,Male
Franz Vinck,Male
François Truffaut,Male
Frida Kahlo,Female
Friedensreich Hundertwasser,Unknown
Friedrich Nietzsche,Male
Fritz Lang,Male
G. W. Pabst,Unknown
George Antheil,Male
George Balanchine,Male
George Bellows,Male
George Grosz,Male
Georges Braque,Male
Georges Dufrénoy,Male
Georges Lemmen,Male
Georges Rouault,Male
Georges Seurat,Male
Georgia O'Keeffe,Female
Gerrit Rietveld,Male
Gertrude Stein,Female
Giorgio de Chirico,Male
Gonorrhea,Unknown
Gordon Bunshaft,Male
Grant Wood,Male
Green Wheat Field with Cypress,Unknown
Gregory White Smith,Male
Guillaume Apollinaire,Male
Gustave Courbet,Male
Gustave Doré,Male
Gustave Flaubert,Male
Gustave Moreau,Male
Hannah Höch,Female
Harry Partch,Male
Health of Vincent van Gogh,Unknown
Heitor Villa-Lobos,Male
Helen Tamiris,Female
Helene Kröller-Müller,Female
Henk Bremmer,Male
Henri Dutilleux,Male
Henri Manguin,Male
Henri Matisse,Male
Henri Ottmann,Male
Henri Rousseau,Male
Henri de Toulouse-Lautrec,Male
Henriette Tirman,Female
Henrik Ibsen,Male
Henry Moore,Male
Henry de Groux,Male
Henryk Górecki,Male
Herman Johannes van der Weele,Male
Hermann Broch,Male
Hermann Hesse,Male
Hilary Spurling,Female
Hokusai,Unknown
Honoré Daumier,Male
Ida Lupino,Female
Ingmar Bergman,Male
Iris (plant),Female
Irving Stone,Male
Isadora Duncan,Unknown
J. Paul Getty Museum,Unknown
Jacob Baart de la Faille,Male
Jacob van Ruisdael,Male
Jacques Tati,Male
James Day (journalist),Male
James Ensor,Male
James Joyce,Male
Jan Hulsker,Male
Jaroslav Hašek,Male
Jean Anouilh,Male
Jean Arp,Male
Jean Epstein,Male
Jean Marchand (painter),Male
Jean Metzinger,Male
Jean Puy,Male
Jean Renoir,Male
Jean Vigo,Male
Jiří Trnka,Male
Joan Miró,Female
Johan Hendrik Weissenbruch,Male
Johanna van Gogh-Bonger,Female
John Cassavetes,Male
John Dos Passos,Male
John Ford,Male
John Hubley,Male
John Osborne,Male
John Rewald,Male
John Russell (Australian painter),Male
Josef Albers,Male
Josef von Sternberg,Male
Joseph Conrad,Male
Joseph Losey,Male
Juan Gris,Male
Jules Breton,Male
Jules Dassin,Male
Julien Tanguy (art dealer),Male
Karl Schmidt-Rottluff,Male
Karlheinz Stockhausen,Male
Karol Szymanowski,Male
Katherine Anne Porter,Female
Katherine Mansfield,Female
Kazimir Malevich,Male
Kees van Dongen,Male
Keisai Eisen,Unknown
Kisho Kurokawa,Male
Knut Hamsun,Male
Konstantin Melnikov,Male
Kurt Weill,Male
Laken,Female
Landscape with Pollard Willows,Unknown
Langlois Bridge at Arles,Unknown
Le Moulin de la Galette (Van Gogh series),Female
Leoš Janáček,Male
Les Alyscamps,Male
Lev Kuleshov,Male
Lilac Bush,Unknown
Lilacs (painting),Unknown
List of drawings by Vincent van Gogh,Unknown
List of works by Vincent van Gogh,Unknown
Loie Fuller,Unknown
Lost works by Vincent van Gogh,Unknown
Louis Anquetin,Male
Louis Kahn,Male
Louis Sullivan,Male
Louis Valtat,Male
Louis Vauxcelles,Male
Luciano Berio,Male
Lucien Pissarro,Male
Ludwig Mies van der Rohe,Male
Luigi Nono,Male
Luigi Russolo,Male
Luis Buñuel,Male
"Luxe, Calme et Volupté",Unknown
Madame Roulin and Her Baby,Unknown
Maison Van Gogh,Unknown
Man Ray,Unknown
Manuel de Falla,Male
Marc Chagall,Male
Marcel Breuer,Male
Marianne Moore,Female
Marie François Sadi Carnot,Female
Marshy Landscape,Unknown
Martha Graham,Female
Mary Cassatt,Female
Mary Wigman,Female
Maurice Denis,Male
Maurice Maeterlinck,Male
Maurice de Vlaminck,Male
Max Ernst,Male
Max Jacob,Male
Maxwell Anderson,Male
Maya Deren,Female
Meadows near Rijswijk and the Schenkweg,Unknown
Merce Cunningham,Unknown
Metropolis (1927 film),Unknown
Michael Peppiatt,Male
Michel Fokine,Male
Michelangelo Antonioni,Male
Mikhail Bulgakov,Male
Mont Sainte-Victoire (Cézanne),Unknown
Morton Feldman,Male
Mrs Dalloway,Unknown
Musée Fabre,Unknown
Musée Rodin,Unknown
Musée d'Orsay,Unknown
Nazi-looted artworks of Vincent van Gogh,Unknown
Nazi looting of artworks by Vincent van Gogh,Unknown
Nicholas Ray,Male
North Brabant,Unknown
Octave Mirbeau,Male
Odysseas Elytis,Male
Old Church Tower at Nuenen,Unknown
Orson Welles,Male
Oscar Niemeyer,Male
Oskar Kokoschka,Male
Otterlo,Unknown
Otto Dix,Male
Outskirts of Paris (Van Gogh),Unknown
Paintings of Amsterdam by Vincent van Gogh,Unknown
Paul Cézanne,Male
Paul Gachet,Male
Paul Gauguin,Male
Paul Hindemith,Male
Paul Klee,Male
Paul Ranson,Male
Paul Sérusier,Male
Paul Valéry,Male
Paul Éluard,Male
Peter Paul Rubens,Male
Philip Johnson,Male
Pier Luigi Nervi,Male
Pierre Bonnard,Male
Pierre Boulez,Male
Pierre Schaeffer,Male
Piet Mondrian,Male
Portrait of Doctor Rey,Unknown
Portrait of Dr. Gachet,Unknown
Portrait of Vincent van Gogh (1887),Unknown
Portraits by Vincent van Gogh,Unknown
Portraits of Vincent van Gogh,Unknown
Posthumous fame of Vincent van Gogh,Unknown
Prisoners' Round (after Gustave Doré),Unknown
Project Gutenberg,Unknown
