Name,Gender
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Arturo Rosenblueth,Male
Bradford Cannon,Male
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Cornelia James Cannon,Female
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
G. W. Pierce,Unknown
Genevieve Bell,Female
Geoffrey Vickers,Male
George Henry Lewes,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Henry Hallett Dale,Male
Henry Pickering Bowditch,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Ida Maud Cannon,Female
Igor Aleksander,Male
Jacque Fresco,Female
Jacques de Noyon,Male
Jakob Johann von Uexküll,Male
James Freeman Clarke,Male
James Martineau,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John Fiske (philosopher),Male
John K. Fairbank,Male
John N. Warfield,Male
John Tyndall,Male
Kevin Warwick,Male
Logan Pass,Male
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Cannon Schlesinger,Male
Marian Mazur,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Thomas Henry Huxley,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Bayliss,Male
William Grey Walter,Male
William Kingdon Clifford,Male
William Townsend Porter,Male
