Name,Gender
Adobe Firefly,Unknown
Alan Turing,Male
Alex Gorsky,Male
Alex Graves (computer scientist),Male
Alex Jacob,Male
Alex Krizhevsky,Male
Alex Trebek,Male
Alice (virtual assistant),Female
Allen Newell,Male
Amy Schneider,Female
Andrej Karpathy,Male
Andrew Liveris,Male
Andrew Ng,Male
Anthem (company),Unknown
Art Fleming,Male
Arthur Chu,Male
Arthur Phillips,Male
Arvind Krishna,Male
Ashok Goel,Male
Aurora (text-to-image model),Female
Ben Zimmer,Male
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Bill Cassidy,Male
Bob Harris (writer),Male
Brad Rutter,Male
Brian Stelter,Male
Buzzy Cohen,Unknown
C++,Unknown
Chinchilla (language model),Unknown
Chris Welty,Male
Chuck Forrest,Male
Claude (language model),Male
Claude Shannon,Male
Clive Thompson (journalist),Male
Colby Burnett,Male
David Farr (businessman),Male
David Ferrucci,Male
David Madden (Jeopardy! contestant),Male
David Silver (computer scientist),Male
Deep Blue (chess computer),Female
Douglas Adams,Male
Edward O'Hare,Male
Eric Nyberg,Male
Fei-Fei Li,Unknown
Francisco Partners,Male
Frank Rosenblatt,Male
Frank Spangenberg,Male
Frank T. Cary,Male
GPT-4,Unknown
Garry Kasparov,Male
Geoffrey Hinton,Male
George Eyser,Male
Grok (chatbot),Unknown
Harry Friedman,Male
Herbert A. Simon,Male
Houghton Mifflin Harcourt,Unknown
Hutton Gibson,Unknown
IBM Osprey,Unknown
Ian Goodfellow,Male
Jackie Fox,Unknown
James Holzhauer,Male
Java (programming language),Unknown
Jay Wolpert,Male
Jerome Vered,Male
John E. Kelly III,Male
John Fellows Akers,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John R. Opel,Male
John Rennie (editor),Male
John Searle,Male
John von Neumann,Male
Jonathan Groff (writer),Male
Joseph R. Swedish,Male
Joseph Weizenbaum,Male
Joshua Davis (web designer),Male
Julia Collins (Jeopardy! contestant),Female
Jürgen Schmidhuber,Male
Kaleida Labs,Unknown
Karl Coryat,Male
Ken Jennings,Male
Kyndryl,Unknown
Larissa Kelly,Female
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Lou Gerstner,Male
Lucifer (cipher),Unknown
Mark Lowenthal,Male
Martha E. Pollack,Female
Marvin Minsky,Male
Mathematica: A World of Numbers... and Beyond,Unknown
Matt Amodio,Male
Matt Jackson (Jeopardy! contestant),Male
Mattea Roach,Female
Mayim Bialik,Unknown
Memorial Sloan–Kettering Cancer Center,Unknown
Michelle Howard,Female
Microsoft Bob,Unknown
Mike Richards (television personality),Male
MiniMax (company),Unknown
Ms. Dewey,Unknown
Nathaniel Rochester (computer scientist),Male
Ned Sharpless,Male
Oliver Selfridge,Male
Paul Horn (computer scientist),Male
Paul Werbos,Male
Peter Voser,Male
Qwen,Unknown
Richard Cordray,Male
Roger Craig (Jeopardy! contestant),Male
Samuel J. Palmisano,Male
Seymour Papert,Male
Stephen Grossberg,Male
Stephen L. Baker,Male
Suno AI,Unknown
Thomas Buberl,Male
Thomas J. Watson,Male
Thomas J. Watson Jr.,Male
Thomas J. Watson Research Center,Male
Vancouver Sun,Unknown
Victoria Groce,Female
Virginia Rometty,Female
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Weather Underground (weather service),Unknown
What Is... Cliff Clavin?,Unknown
Wolfram Alpha,Male
Yann LeCun,Male
"Yorktown Heights, New York",Unknown
Yoshua Bengio,Unknown
