Name,Gender
Albert Schweitzer,Male
Alfred North Whitehead,Male
Bas van Fraassen,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Charles Sanders Peirce,Male
David Hume,Male
Ernst Troeltsch,Male
Francis Bacon,Male
Frederick C. Beiser,Male
Georg Wilhelm Friedrich Hegel,Male
Hans Reichenbach,Male
Heinz Heimsoeth,Male
Henri Poincaré,Male
Hermann Lotze,Male
Ian Hacking,Male
Idiographic,Unknown
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
Johann Friedrich Herbart,Male
Karl Pearson,Male
Karl Popper,Male
Larry Laudan,Male
Max Weber,Male
Michael Polanyi,Male
Mill's Methods,Unknown
Otto Neurath,Male
Pierre Duhem,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Thomas Kuhn,Male
Willard Van Orman Quine,Male
