Name,Gender
A. J. Ayer,Unknown
Abraham Fraenkel,Male
Alciphron (book),Unknown
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Ancient Greece,Unknown
Andrea Branzi,Female
Andrew Manze,Male
Andrew Wiles,Male
Anil Gupta (philosopher),Male
Anne Lacaton,Female
Anne Sofie von Otter,Female
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
B. F. Skinner,Unknown
Barbara Hannigan,Female
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
Bruno Latour,Male
Bryan Magee,Male
Burton Dreben,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carus Lectures,Unknown
Casimir Lewy,Male
Charles Parsons (philosopher),Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Chrysippus,Unknown
Claes Oldenburg,Male
Claude Lancelot,Male
Continuum hypothesis,Unknown
Cora Diamond,Female
Czesław Lejewski,Male
Dana Scott,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
De Morgan's laws,Unknown
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Doris Salcedo,Female
Douglas Hofstadter,Male
Duncan Pritchard,Male
Edmund F. Robertson,Male
Edmund Gettier,Male
Edward J. McCluskey,Male
Edward N. Zalta,Male
Edward Sapir,Male
Elias M. Stein,Male
Elliott H. Lieb,Male
Endre Szemerédi,Male
Ernest Nagel,Male
Ernest Sosa,Male
Ernst Zermelo,Male
Francis Alÿs,Male
Francis Bacon,Male
Francisco Suárez,Male
Frank P. Ramsey,Male
Franz Boas,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gayatri Chakravorty Spivak,Female
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Myro,Male
Gidon Kremer,Unknown
Gilbert Harman,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giovanna Borradori,Female
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
"Gödel, Escher, Bach: An Eternal Golden Braid",Unknown
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Hao Wang (academic),Unknown
Henri Bergson,Male
Henri Poincaré,Male
Henry Hiz,Male
Herbert Blomstedt,Male
Herbert Feigl,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Imre Lakatos,Male
Ingvar Lidholm,Male
Isaac Newton,Male
Ivor Grattan-Guinness,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Pryor,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
John Barkley Rosser,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John McDowell,Male
John Myhill,Male
John Rawls,Male
John Searle,Male
John Wilkins,Male
John von Neumann,Male
Jonathan Pila,Male
Jorma Panula,Male
Jürgen Habermas,Male
Kaija Saariaho,Female
Karl Pearson,Male
Karl Popper,Male
Kazuyo Sejima,Female
Keith DeRose,Male
Keith Donnellan,Male
Kripke–Platek set theory,Unknown
Kronos Quartet,Unknown
Kurt Gödel,Male
Larry Laudan,Male
Laurence BonJour,Female
Leonard Bloomfield,Male
Lev Vygotsky,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Luis Caffarelli,Male
Marlene Dumas,Female
Martha Nussbaum,Female
Martin Heidegger,Male
Mauricio Kagel,Male
Michael Aschbacher,Male
Michael Dummett,Male
Michael Polanyi,Male
Michael Walzer,Male
Mikio Sato,Male
Mill's Methods,Unknown
Mona Hatoum,Female
Moritz Schlick,Male
Morse–Kelley set theory,Unknown
Morton White,Male
Murray Murphey,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Nikolai G. Makarov,Male
Noam Chomsky,Male
Norman Malcolm,Male
Nyāya Sūtras,Unknown
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Bernays,Male
Paul Churchland,Male
Paul Cohen,Male
Paul Gochet,Male
Paul Ricœur,Male
Paul Thieme,Male
Paul Tillich,Male
