Name,Gender
Alan Turing,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Amplifier,Unknown
Anthony Wilden,Male
Arnold Beck,Male
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Christopher Langton,Male
Claude Bernard,Male
David Woodard,Male
Electroencephalography,Unknown
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans Berger,Male
Hans Moravec,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Ian Sommerville (technician),Male
Igor Aleksander,Male
Ivan Pavlov,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
John von Neumann,Male
Kevin Warwick,Male
Koch snowflake,Unknown
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mark Tilden,Male
N. Katherine Hayles,Unknown
Nicolas Hardy Walter,Male
Nicolas Walter,Male
Niklas Luhmann,Male
Norbert Wiener,Male
Owen Holland (academic),Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Rodney Brooks,Male
Samuel Kerkham Ratcliffe,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
W. W. Norton & Company,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William S. Burroughs,Male
