Name,Gender
Abraham Maslow,Male
Adi Shankara,Male
Afrikan Spir,Unknown
Alan E. Kazdin,Male
Alan Watts,Male
Albert Bandura,Male
Albert Camus,Male
Albert Poffenberger,Male
Alberto Giacometti,Male
Aldous Huxley,Male
Alexander Pruss,Male
Alfred Henry Lloyd,Male
Ali Akbar Rashad,Male
Alice James,Female
Alvin Plantinga,Male
Amos Tversky,Male
Anne Anastasi,Female
Anthony Kenny,Male
Antoine Augustin Calmet,Male
Antonio Puente,Male
Arthur Holly Compton,Male
Astor House,Unknown
Augustine of Hippo,Female
B. F. Skinner,Unknown
Barry S. Anton,Male
Benjamin Fondane,Male
Bertrand Russell,Male
Bonnie Strickland,Female
Boris Sidis,Male
Bruce Kuklick,Male
Bruce McEwen,Male
C. I. Lewis,Unknown
Calvin Perry Stone,Male
Carl Jung,Male
Carl Lange (physician),Male
Carl Rogers,Male
Carl Seashore,Male
Carol D. Goodheart,Female
Charles Dickens,Male
Charles E. Osgood,Male
Charles Hartshorne,Male
Charles Hubbard Judd,Male
Charles Renouvier,Male
Charles Sanders Peirce,Male
Charles Spielberger,Male
Chauncey Wright,Male
Clark L. Hull,Male
Colin Wilson,Male
Creationism,Unknown
Damasio,Unknown
Daniel Dennett,Male
Daniel Kahneman,Male
Dasein,Unknown
David Hartley (philosopher),Male
David Hume,Male
David McClelland,Male
Deborah Blum,Female
Desiderius Erasmus,Male
Dewi Zephaniah Phillips,Female
Dharma,Unknown
Diane F. Halpern,Female
Donald Marquis (psychologist),Male
Donald N. Bersoff,Male
Donald O. Hebb,Male
Donald T. Campbell,Male
Dorothy Cantor,Female
E. Lowell Kelly,Unknown
Ed Diener,Male
Edmund Husserl,Male
Edmund Sanford,Male
Edward B. Titchener,Male
Edward C. Tolman,Male
Edward Thorndike,Male
Edwin Boring,Male
Edwin Diller Starbuck,Male
Edwin Holt,Male
Edwin Ray Guthrie,Male
Elliot Aronson,Male
Emanuel Swedenborg,Male
Emmanuel Levinas,Male
Erik Erikson,Male
Ernest Hilgard,Male
Ernst Cassirer,Male
Ernst Haeckel,Male
Ernst Mach,Male
Ernst Troeltsch,Male
Frank C. Worrell,Male
Frank H. Farley,Male
Frantz Fanon,Male
Franz Kafka,Male
Franz Rosenzweig,Male
Frederick Burkhardt,Male
Free Thought and Official Propaganda,Unknown
Friedrich Nietzsche,Male
Friedrich Schleiermacher,Male
Frithjof Schuon,Male
G. Stanley Hall,Unknown
Gabriel Marcel,Male
Gabriel Wells,Male
Gardner Lindzey,Unknown
Gardner Murphy,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Albee,Male
George Armitage Miller,Male
George Berkeley,Male
George I. Mavrodes,Male
George M. Stratton,Male
George Santayana,Male
George Stuart Fullerton,Male
George Trumbull Ladd,Male
Gerald Koocher,Male
Gertrude Stein,Female
Gifford Lectures,Male
Giovanni Pico della Mirandola,Male
Giuseppe Sergi,Male
Gordon Allport,Male
Gottfried Wilhelm Leibniz,Male
Hannah Arendt,Female
Harald Høffding,Male
Harry Harlow,Male
Harry Levi Hollingworth,Male
Harvey A. Carr,Male
Hegel,Unknown
Henri Bergson,Male
Henri Poincaré,Male
Henry Garrett (psychologist),Male
Henry James,Male
Henry James (biographer),Male
Henry James Sr.,Male
Henry Rutgers Marshall,Male
Herbert A. Simon,Male
Herbert Langfeld,Male
Herbert Spencer,Male
Herbert Woodrow,Male
Hermann Helmholtz,Male
Hibbert Lectures,Unknown
Horatio Alger,Male
Houghton Mifflin Harcourt,Unknown
Howard C. Warren,Male
Hugo Münsterberg,Male
I. Madison Bentley,Unknown
Immanuel Kant,Male
Ingersoll Lecture,Unknown
Isaac Newton,Male
Ivan Pavlov,Male
J. L. Mackie,Unknown
J. McVicker Hunt,Unknown
J. P. Guilford,Unknown
Jack Wiggins Jr.,Male
Jacques Barzun,Male
James H. Bray,Male
James Huneker,Male
James Joyce,Male
James Mark Baldwin,Male
James McKeen Cattell,Male
James Rowland Angell,Male
James VI and I,Male
James–Lange theory,Unknown
Jane Addams,Female
Jane Roberts,Female
Janet Taylor Spence,Female
Jean-Paul Sartre,Male
Jean Piaget,Male
Jennifer F. Kelly,Female
Jerome Bruner,Male
Jerome Kagan,Male
Jessica Henderson Daniel,Female
Johann Gottfried Herder,Male
John B. Watson,Male
John Dashiell,Male
John Dewey,Male
John Edward Anderson (psychologist),Male
John J. Conger,Male
John J. McDermott (philosopher),Male
John La Farge,Male
John Lachs,Male
John Robert Anderson (psychologist),Male
John Wallace Baird,Male
Joseph B. Soloveitchik,Male
Joseph E. LeDoux,Male
Joseph Jastrow,Male
Joseph LeDoux,Male
Joseph Maréchal,Male
Joseph Matarazzo,Male
Joseph Peterson (psychologist),Male
Josiah Royce,Male
José Ortega y Gasset,Male
Karl Barth,Male
Karl Christian Friedrich Krause,Male
Karl Jaspers,Male
Karl Lashley,Male
Karl Marx,Male
Karl Popper,Male
Kenneth B. Clark,Male
Knight Dunlap,Unknown
Kurt Lewin,Male
Larry Squire,Male
Laurance F. Shaffer,Male
Lawrence Kohlberg,Male
Lee Cronbach,Male
Leon Festinger,Male
Leona E. Tyler,Female
Leonard Carmichael,Male
Leonora Piper,Female
Lev Shestov,Male
Lewis Terman,Male
Linda Simon,Female
Logan Wright,Male
Louis Agassiz,Male
Louis Leon Thurstone,Male
