Name,Gender
Adi Shamir,Male
Alan Kay,Male
Alan Perlis,Male
Alberto Sols,Male
Alfred Aho,Male
Allen Newell,Male
Amir Pnueli,Male
Andrew Yao,Male
Anthony R. Hunter,Male
Antonio Damasio,Male
Antonio Garcia-Bellido,Male
Antonio González González (chemist),Male
Arturo Alvarez-Buylla,Male
Avel·lí Corma Canós,Unknown
Avi Wigderson,Male
Barbara Liskov,Female
Barry Barish,Male
Baruch Minke,Male
Bert Vogelstein,Male
Bill Dally,Male
Bob Kahn,Male
Bonnie Bassler,Female
Butler Lampson,Unknown
Charles Bachman,Male
Charles P. Thacker,Male
Craig Venter,Male
Dana Scott,Female
Daniel J. Drucker,Male
David Julius,Male
David Patterson (computer scientist),Male
David Vázquez Martínez,Male
Dennis Ritchie,Male
Derrick Rossi,Male
Donald Knuth,Male
Douglas Engelbart,Male
Drew Weissman,Male
E. Allen Emerson,Unknown
Edgar F. Codd,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward Feigenbaum,Male
Edwin Catmull,Male
Emilio Méndez Pérez,Male
Emilio Rosenblueth,Male
Emmanuel Candès,Male
Emmanuelle Charpentier,Female
Enrique Moreno González,Male
Eric Schmidt,Male
Everett Peter Greenberg,Male
Federico García Moliner,Male
Fei-Fei Li,Unknown
Fernando J. Corbató,Male
Frances Allen,Female
Francis Collins,Male
Francisco Bolívar Zapata,Male
François Englert,Male
Fred Brooks,Male
Galen D. Stucky,Male
Geoffrey E. Hinton,Male
Geoffrey Hinton,Male
George M. Whitesides,Male
Ginés Morata,Unknown
Hamilton O. Smith,Male
Harold Pender Award,Male
Herbert A. Simon,Male
Hugh Herr,Male
Ivan Sutherland,Male
Jack Dongarra,Male
James H. Wilkinson,Male
Jane Goodall,Female
Jean Weissenbach,Male
Jeffrey I. Gordon,Male
Jeffrey M. Friedman,Male
Jeffrey Ullman,Male
Jennifer Doudna,Female
Jens Juul Holst,Male
Jensen Huang,Unknown
Jim Gray (computer scientist),Male
Joan Massagué,Female
Joanne Chory,Female
Joel Habener,Male
John (given name),Male
John Backus,Male
John Cocke (computer scientist),Male
John Hopcroft,Male
John Hopfield,Male
John L. Hennessy,Male
John McCarthy (computer scientist),Male
John Sulston,Male
Joseph Altman,Male
Joseph Sifakis,Male
Juan Ignacio Cirac Sasturain,Male
Judah Folkman,Male
Judea Pearl,Unknown
Juris Hartmanis,Male
Katalin Karikó,Female
Ken Thompson,Male
Kenneth E. Iverson,Male
Kip Thorne,Male
Kristen Nygaard,Female
Lawrence Rabiner,Male
Lawrence Roberts (scientist),Male
Leonard Adleman,Male
Leslie Lamport,Female
Leslie Valiant,Female
Linda R. Watkins,Female
Luc Montagnier,Male
Luis Santaló,Male
Léon Bottou,Male
Manuel Ballester,Male
Manuel Blum,Male
Manuel Cardona,Male
Manuel Elkin Patarroyo,Male
Manuel Losada Villasante,Male
Marcos Moshinsky,Male
Mark E. Davis,Male
Martin Cooper (inventor),Male
Martin Hellman,Male
Marvin Minsky,Male
Maurice Wilkes,Male
Michael O. Rabin,Male
Michael Stonebraker,Male
Morgan Kaufmann,Male
Niklaus Wirth,Male
Pat Hanrahan,Unknown
Pedro Miguel Etxenike,Male
Peter Anthony Lawrence,Male
Peter Higgs,Male
Peter Naur,Male
Philip Felgner,Male
Queen Elizabeth Prize for Engineering,Female
Rainer Weiss,Male
Ray Tomlinson,Male
Richard E. Stearns,Male
Richard Hamming,Male
Richard Lerner,Male
Richard M. Karp,Male
Robert Gallo,Male
Robert Kahn (computer scientist),Male
Robert Metcalfe,Male
Robert S. Langer,Male
Robert Tarjan,Male
Robert W. Floyd,Male
Robert Weinberg (biologist),Male
Robin Milner,Male
Rodolphe Saadé,Male
Ron Rivest,Male
Sara Solla,Female
Sarah Gilbert,Female
Shafi Goldwasser,Unknown
Shuji Nakamura,Male
Silvio Micali,Male
Stephen Cook,Male
Sumio Iijima,Male
Svante Pääbo,Male
Svetlana Mojsov,Female
Tim Berners-Lee,Male
Tony Hoare,Male
Université Côte d'Azur,Unknown
Valentín Fuster,Male
Vint Cerf,Unknown
Vladimir Vapnik,Male
Whitfield Diffie,Unknown
William Kahan,Male
Xavier Niel,Male
Yoshua Bengio,Unknown
Yves Meyer,Male
École Polytechnique Fédérale de Lausanne,Unknown
Template talk:Turing Award laureates,Unknown
