Name,Gender
Ada Yonath,Female
Adam Eyre-Walker,Male
Adi Shamir,Male
Alan Kay,Male
Alan Perlis,Male
Alberto Sols,Male
Alexander Alexeyevich Makarov,Male
Alfred Aho,Male
Allen Newell,Male
Amir Pnueli,Male
Andrew M. Stuart,Male
Andrew Yao,Male
Anthony R. Hunter,Male
Antonio Damasio,Male
Antonio Garcia-Bellido,Male
Antonio González González (chemist),Male
Arturo Alvarez-Buylla,Male
Avel·lí Corma Canós,Unknown
Avi Wigderson,Male
Barbara Liskov,Female
Barry Barish,Male
Baruch Minke,Male
Ben Feringa,Male
Bert Vogelstein,Male
Bill Dally,Male
Bob Kahn,Male
Bonnie Bassler,Female
Butler Lampson,Unknown
Cathy Price,Female
Charles Bachman,Male
Charles P. Thacker,Male
Craig Venter,Male
Dana Scott,Female
Daniel Frost (earth scientist),Male
Daniel J. Drucker,Male
David Cooksey,Male
David Harel,Male
David Julius,Male
David Patterson (computer scientist),Male
David Vázquez Martínez,Male
Dennis Ritchie,Male
Derrick Rossi,Male
Didier Queloz,Male
Donald Knuth,Male
Donna Strickland,Female
Douglas Engelbart,Male
Drew Weissman,Male
E. Allen Emerson,Unknown
Edgar F. Codd,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward Feigenbaum,Male
Edwin Catmull,Male
Ehud Hrushovski,Male
Emilio Méndez Pérez,Male
Emilio Rosenblueth,Male
Emmanuel Candès,Male
Emmanuelle Charpentier,Female
Enrique Moreno González,Male
Erdős number,Unknown
Everett Peter Greenberg,Male
Federico García Moliner,Male
Fei-Fei Li,Unknown
Fernando J. Corbató,Male
Frances Allen,Female
Frances Arnold,Female
Francis Collins,Male
Francisco Bolívar Zapata,Male
François Englert,Male
François Guillemot,Male
Fred Brooks,Male
G. Marius Clore,Unknown
GPT-4,Unknown
Galen D. Stucky,Male
Gary Marcus,Male
Geoffrey E. Hinton,Male
Geoffrey Hinton,Male
George Jackson (chemist),Male
George M. Whitesides,Male
Giles Oldroyd,Male
Ginés Morata,Unknown
Hamilton O. Smith,Male
Henry N. Chapman,Male
Herbert A. Simon,Male
Hugh Herr,Male
Ian Goodfellow,Male
Ivan Sutherland,Male
Jack Dongarra,Male
Jack Thorne (mathematician),Male
James H. Wilkinson,Male
Jane Goodall,Female
Jane Visvader,Female
Jean Weissenbach,Male
Jeffrey I. Gordon,Male
Jeffrey M. Friedman,Male
Jeffrey Ullman,Male
Jennifer Doudna,Female
Jens Juul Holst,Male
Jim Gray (computer scientist),Male
Joan Massagué,Female
Joanne Chory,Female
Joel Habener,Male
John Backus,Male
John Cocke (computer scientist),Male
John Endler,Male
John Hopcroft,Male
John Hopfield,Male
John L. Hennessy,Male
John McCarthy (computer scientist),Male
John Plane,Male
John Shine,Male
John Sulston,Male
Joseph Altman,Male
Joseph Sifakis,Male
Juan Ignacio Cirac Sasturain,Male
Judah Folkman,Male
Judea Pearl,Unknown
Juris Hartmanis,Male
Katalin Karikó,Female
Keith Matthews (biologist),Male
Ken Thompson,Male
Kenneth E. Iverson,Male
Kerry Emanuel,Female
Kevin Brindle,Male
Kip Thorne,Male
Kristen Nygaard,Female
Lawrence Roberts (scientist),Male
Leonard Adleman,Male
Leslie Lamport,Female
Leslie Valiant,Female
Linda Nazar,Female
Linda R. Watkins,Female
Luc Montagnier,Male
Luis Santaló,Male
Malcolm J. Bennett,Male
Manuel Ballester,Male
Manuel Blum,Male
Manuel Cardona,Male
Manuel Elkin Patarroyo,Male
Manuel Losada Villasante,Male
Marcos Moshinsky,Male
Margaret G. Kivelson,Female
Marian Holness,Male
Mark E. Davis,Male
Martin Cooper (inventor),Male
Martin Ford (author),Male
Martin Hellman,Male
Marvin Minsky,Male
Maurice Wilkes,Male
Michael I. Jordan,Male
Michael O. Rabin,Male
Michael Stonebraker,Male
Molly Stevens,Female
Nicholas Read,Male
Nicholas Turner (chemist),Male
Nigel Scrutton,Male
Niklaus Wirth,Male
Oliver Phillips (ecologist),Male
Pat Hanrahan,Unknown
Pedro Miguel Etxenike,Male
Peter Anthony Lawrence,Male
Peter Higgs,Male
Peter Naur,Male
Peter Nellist,Male
Philip Felgner,Male
Prix Marie-Victorin,Unknown
Queen Elizabeth Prize for Engineering,Female
Rainer Weiss,Male
Ralf Speth,Male
Ramamoorthy Ramesh,Unknown
Ray Tomlinson,Male
Raymond Pierrehumbert,Male
Regine Kahmann,Female
Richard E. Stearns,Male
Richard Hamming,Male
Richard Lerner,Male
Richard M. Karp,Male
Richard Thompson (marine biologist),Male
Rishi Sunak,Unknown
Robert Gallo,Male
Robert Kahn (computer scientist),Male
Robert Metcalfe,Male
Robert S. Langer,Male
Robert Tarjan,Male
Robert W. Floyd,Male
Robert Weinberg (biologist),Male
Robin Milner,Male
Ron Rivest,Male
Sarah Gilbert,Female
Sarah Teichmann,Female
Shafi Goldwasser,Unknown
Shuji Nakamura,Male
Silvio Micali,Male
Stephen Cook,Male
Stephen Smartt,Male
Steve Young (academic),Male
Stuart J. Russell,Male
Sumio Iijima,Male
Svante Pääbo,Male
Svetlana Mojsov,Female
Tayeb Saddiki,Unknown
Tim Berners-Lee,Male
Timothy Behrens (neuroscientist),Male
Tony Hoare,Male
Valentín Fuster,Male
Vint Cerf,Unknown
Wendelin Werner,Male
Whitfield Diffie,Unknown
William C. Campbell (scientist),Male
William Kahan,Male
William Schafer,Male
Xin Lu,Unknown
Yann LeCun,Male
Yves Meyer,Male
Zulfiqar Bhutta,Male
Template talk:Turing Award laureates,Unknown
