Name,Gender
A. Stephen Morse,Unknown
A. V. Balakrishnan,Unknown
Arthur E. Bryson,Male
"Arthur E. Bryson, Jr.",Male
Ashok Agrawala,Male
Charles Stark Draper,Male
Dimitri Bertsekas,Male
Dragoslav D. Šiljak,Male
Eliahu I. Jury,Male
Elmer G. Gilbert,Male
Galip Ulsoy,Male
Gene F. Franklin,Male
George Leitmann,Male
Harold Chestnut,Male
Harold J. Kushner,Male
Harvard John A. Paulson School of Engineering and Applied Sciences,Unknown
Hendrik Wade Bode,Male
Irving Lefkowitz,Male
Jason Speyer,Male
John Baras,Male
John C. Lozier,Male
John G. Truxal,Male
John V. Breakwell,Male
John Zaborszky,Male
Jose B. Cruz Jr.,Male
Kumpati S. Narendra,Unknown
Larry Ho,Male
Laurence C. Hodgson,Female
Leyuan Shi,Unknown
Lotfi A. Zadeh,Male
Manfred Morari,Male
Masayoshi Tomizuka,Male
Michael Athans,Male
Miroslav Krstić,Male
Nathaniel B. Nichols,Male
Petar V. Kokotovic,Male
Rangasami L. Kashyap,Unknown
Richard E. Bellman,Male
Richard E. Bellman Control Heritage Award,Male
Roger W. Brockett,Male
Rudolf E. Kálmán,Male
Rutherford Aris,Unknown
Samuel Karlin,Male
Sanjoy K. Mitter,Unknown
Stephen P. Boyd,Male
Thomas F. Edgar,Male
W. Harmon Ray,Unknown
Walter R. Evans,Male
Template:Richard E. Bellman Control Heritage Award,Unknown
Template talk:Richard E. Bellman Control Heritage Award,Unknown
