Name,Gender
Alma mater,Female
Anders Sandberg,Male
Andrew Anthony,Male
Aubrey de Grey,Unknown
Ben Goertzel,Male
Benjamin Netanyahu,Male
Benjamin Z. Kedar,Male
Carole Cadwalladr,Female
Christopher Robert Hallpike,Male
David Pearce (philosopher),Male
Donald Trump,Male
Dyson sphere,Unknown
Frankfurter Allgemeine Zeitung,Unknown
Frederick Osborn,Male
Gennady Stolyarov II,Male
George Church (geneticist),Male
Greg Fahy,Male
Herbert Spencer,Male
Homo Deus: A Brief History of Tomorrow,Unknown
Hugo de Garis,Male
Iris Shagrir,Female
J. B. S. Haldane,Unknown
James Hughes (sociologist),Male
Jared Diamond,Male
"Jesus College, Oxford",Male
John Harris (bioethicist),Male
Jonathan Riley-Smith,Male
Julian Huxley,Male
Julian Savulescu,Male
K. Eric Drexler,Unknown
Kevin Warwick,Male
Kirkus Reviews,Unknown
Kiryat Ata,Unknown
Leonid Bershidsky,Male
Lex Fridman,Male
Mark Gasson,Male
Max More,Male
Natasha Vita-More,Female
Neil Harbisson,Male
Nick Bostrom,Male
Nick Land,Male
Nikolai Fyodorov (philosopher),Male
Peter Singer,Male
Pierre Teilhard de Chardin,Male
Ray Kurzweil,Male
Regeln für den Menschenpark,Unknown
Robert Freitas,Male
Robin Hanson,Male
Ronnie Ellenblum,Male
S. N. Goenka,Unknown
Sam Harris,Male
Sapiens: A Brief History of Humankind,Unknown
Siddhartha Mukherjee,Unknown
Stefan Lorenz Sorgner,Male
Stephen Gunn (historian),Male
Steve Fuller (sociologist),Male
Steven Gunn (historian),Male
TED (conference),Unknown
TED Talks,Unknown
Thus Spoke Zarathustra,Unknown
William H. Andrews (biologist),Male
Yad Hanadiv,Unknown
Zoltan Istvan,Unknown
