Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alvin Goldman,Male
Andy Clark,Male
Angus Charles Graham,Male
Ban Zhao,Unknown
Bao Jingyan,Male
Baopuzi,Unknown
Benjamin Lee Whorf,Male
Bertrand Russell,Male
Bianhua,Unknown
Bigu (grain avoidance),Unknown
Bu Shang,Unknown
C. D. Broad,Unknown
Cai Yuanpei,Male
Carsun Chang,Unknown
Chen Daqi,Unknown
Chen Duxiu,Unknown
Chen Hongmou,Unknown
Chen Jiru,Unknown
Chen Menglei,Unknown
Chen Tuan,Unknown
Cheng Hao,Unknown
Cheng Xuanying,Unknown
Cheng Yi (philosopher),Unknown
Chrysippus,Unknown
Chu Anping,Unknown
Chung-ying Cheng,Unknown
Chunyu Kun,Unknown
Claude Lancelot,Male
Dai Zhen,Unknown
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Deng Xi,Unknown
Derek Lin,Male
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Dong Zhongshu,Unknown
Dongfang Shuo,Unknown
Dou Wu,Unknown
Duanmu Ci,Unknown
Edmund Husserl,Male
Edward Sapir,Male
Fan Ye (historian),Unknown
Fan Zhen,Unknown
Fan Zhongyan,Unknown
Fang Bao,Unknown
Fang Keli,Unknown
Fang Lanfen,Unknown
Fang Quan,Unknown
Feng Guifen,Unknown
Feng Youlan,Unknown
Foochow Romanized,Unknown
Frank Cameron Jackson,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Fritz Mauthner,Male
Fu Xuan,Unknown
Fu Yi,Unknown
G. E. M. Anscombe,Unknown
Gan Ji,Unknown
Gan Yang,Unknown
Gaozi,Unknown
Ge Xuan,Unknown
George Berkeley,Male
Gilbert Ryle,Male
Gong Zizhen,Unknown
Gongsun Long,Unknown
Gottfried Wilhelm Leibniz,Male
Gu Su,Unknown
Gu Yanwu,Unknown
Gu Zhun,Unknown
Guan Yu,Unknown
Guan Zhong,Unknown
Guo Xiang,Unknown
Hanyu Pinyin,Unknown
He Yan,Unknown
Henri Bergson,Male
Heshang Gong,Unknown
Hong Zicheng,Unknown
Hongjun Laozu,Unknown
Houtu,Unknown
Hu Hong,Unknown
Hu Qiaomu,Unknown
Hu Shih,Unknown
Hua Gang,Unknown
Huan Tan,Unknown
Huang-Lao,Unknown
Huang Zongxi,Unknown
Huang–Lao,Unknown
Hui Shi,Unknown
Hun and po,Unknown
Ibn Khaldun,Unknown
Immanuel Kant,Male
J. L. Austin,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
James Legge,Male
Jerry Fodor,Male
Ji Kang,Unknown
Ji Yun,Unknown
Jia Kui (scholar),Unknown
Jia Yi,Unknown
Jiang Qing (Confucian),Unknown
Jiao Hong,Unknown
Jiao Yu,Unknown
Jin Yuelin,Female
Jin dynasty (266–420),Female
Jing Fang,Unknown
Johann Gottfried Herder,Male
John Locke,Male
John Searle,Male
John Wilkins,Male
Kang Youwei,Unknown
King Wei of Chu,Male
Kong Anguo,Unknown
Kou Qianzhi,Male
Lai Zhide,Unknown
Lee Shui-chuen,Male
Leonard Bloomfield,Male
Lev Vygotsky,Male
Li (Neo-Confucianism),Unknown
Li Ao (philosopher),Unknown
Li Hong (Taoist eschatology),Unknown
Li Kui (legalist),Unknown
Li Shicen,Unknown
Li Si,Unknown
Li Zehou,Unknown
Li Zhi (philosopher),Unknown
Liang Qichao,Unknown
Liang Shuming,Unknown
Lie Yukou,Unknown
Lin Yutang,Female
Lin Zexu,Female
Lingbao Tianzun,Unknown
Linji Yixuan,Unknown
Liu An,Unknown
Liu Bowen,Unknown
Liu Xiang (scholar),Unknown
Liu Xiaofeng (academic),Unknown
Liu Yiming,Unknown
Liu Yuxi,Unknown
Liu Zongyuan,Unknown
Liu Zongzhou,Unknown
Lu Jia (Western Han),Unknown
Lu Jiuyuan,Unknown
Lu Xiujing,Unknown
Lu Xun,Unknown
Ludwig Wittgenstein,Male
Luo Rufang (Ming dynasty),Unknown
Ma Qixi,Unknown
Ma Rong,Unknown
Mao Zedong,Unknown
Martin Heidegger,Male
Martin Palmer,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Mengcheng,Unknown
Michael Dummett,Male
Michael Tye (philosopher),Male
Mou Zongsan,Unknown
Ned Block,Male
Noam Chomsky,Male
P. C. Chang,Unknown
P. F. Strawson,Unknown
Patricia Buckley Ebrey,Female
Patricia Churchland,Female
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Qian Dehong,Unknown
Qin dynasty,Unknown
Qiu Chuji,Unknown
Qiu Renzong,Unknown
Random House Webster's Unabridged Dictionary,Unknown
Ray Huang,Male
Richard Rorty,Male
Rudolf Carnap,Male
Sacred Mountains of China,Unknown
Saul Kripke,Male
Sengzhao,Unknown
Shang Yang,Unknown
Shao Yong,Unknown
Shen Buhai,Unknown
Shen Dao,Unknown
Shen Kuo,Unknown
Sima Qian,Female
Stephen Yablo,Male
Su Qin,Unknown
Su Song,Unknown
Sun Tzu,Unknown
Tan Sitong,Male
Tang Chun-i,Unknown
Tang Yijie,Unknown
Tang Zhen,Unknown
Tao,Unknown
Tao Hongjing,Unknown
Tao Te Ching,Unknown
Thomas Aquinas,Male
Thomas Hobbes,Male
Thomas Nagel,Male
Three Treasures (traditional Chinese medicine),Unknown
Tsang Lap Chuen,Unknown
Victor H. Mair,Male
Wang Anshi,Unknown
Wang Bi,Unknown
Wang Chong,Unknown
Wang Chongyang,Unknown
Wang Chuyi,Unknown
Wang Fu (Han dynasty),Unknown
Wang Fuzhi,Unknown
Wang Gen,Unknown
Wang Ji (philosopher),Unknown
Wang Su (Cao Wei),Unknown
Wang Tong (philosopher),Unknown
Wang Yangming,Unknown
Way of the Taiping,Unknown
Wei Boyang,Unknown
Wei Huacun,Unknown
Wei Yuan,Unknown
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William James,Male
Wu Cheng (philosopher),Unknown
Wu Chinese,Unknown
Wu Qi,Unknown
Wu wei,Unknown
Wudang Mountains,Unknown
Xiahou Xuan,Unknown
Ximen Bao,Unknown
Xin (heart-mind),Unknown
Xiong Shili,Unknown
Xu Ai,Unknown
Xu Fuguan,Unknown
Xu Xing (philosopher),Unknown
Xun Yue,Unknown
Yan Yuan (Qing dynasty),Male
Yan Zhitui,Male
Yang Changji,Unknown
Yang Xiong (author),Unknown
Yang Zhu,Unknown
Yao Taoism,Unknown
Ye Shi,Unknown
Yin Haiguang,Unknown
Yin and yang,Unknown
Yu Dunkang,Unknown
Yu Yue,Unknown
Yu Zhengxie,Unknown
Yuan Xian,Unknown
Zeng Guofan,Unknown
Zhan Ruoshui,Male
Zhang Boduan,Unknown
Zhang Daoling,Unknown
Zhang Dongsun,Unknown
Zhang Guoxiang,Unknown
Zhang Jue,Unknown
Zhang Lu (Han dynasty),Unknown
Zhang Sanfeng,Unknown
Zhang Shenfu,Unknown
Zhang Xuecheng,Unknown
Zhang Yi (Warring States period),Unknown
Zhang Zai,Unknown
Zhang Zhihe,Unknown
Zhengyi Dao,Unknown
Zhi Dun,Unknown
Zhou Dunyi,Unknown
Zhou Guoping,Unknown
